marca,modelo,marca_processador,nome_processador,geração_processador,ram_gb,tipo_ram,ssd,hdd,sistema_operacional,arquitetura_sistema,placa_grafica_gb,peso,tamanho_tela,garantia,tela_touch,microsoft_office,preco_atual,preco_antigo,desconto,classificacao,avaliacoes,comentarios,preco_atual_real,preco_antigo_real
DELL,Inspiron,Intel,Pentium Quad,Missing,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,No,36000,43000,16,4.3,102,16,2124.0,2537.0
ASUS,VivoBook,Intel,Pentium Quad,Missing,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,32990,39990,17,4.3,7,1,1946.4099999999999,2359.41
DELL,Inspiron,Intel,Pentium Quad,Missing,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,35990,40000,10,0.0,0,0,2123.41,2360.0
ASUS,Pentium,Intel,Pentium Quad,Missing,4 GB GB,LPDDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,27990,33990,17,0.0,0,0,1651.4099999999999,2005.4099999999999
ASUS,Pentium,Intel,Pentium Quad,Missing,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,25990,40108,35,3.7,4741,658,1533.4099999999999,2366.372
ASUS,Pentium,Intel,Pentium Quad,Missing,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,25990,30990,16,3.8,2736,350,1533.4099999999999,1828.4099999999999
ASUS,Asus,Intel,Pentium Quad,Missing,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,30780,36990,16,0.0,0,0,1816.02,2182.41
ASUS,VivoBook,Intel,Pentium Silver,Missing,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,29990,38990,23,4.0,36,3,1769.4099999999999,2300.41
ASUS,EeeBook,Intel,Pentium Silver,Missing,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,31990,40990,21,3.8,5,0,1887.4099999999999,2418.41
Lenovo,Legion,Intel,Genuine Windows,10th,4 GB GB,DDR4,0 GB,512 GB,DOS,32-bit,4,Casual,Missing,0,No,No,77890,110890,29,4.4,208,57,4595.509999999999,6542.509999999999
HP,Ryzen,AMD,Ryzen 3,Missing,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,37990,46055,17,4.3,2214,241,2241.41,2717.245
ASUS,Ryzen,AMD,Ryzen 3,Missing,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,35990,46990,23,4.3,2886,375,2123.41,2772.41
DELL,Inspiron,AMD,Ryzen 3,Missing,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,39490,49714,20,4.3,34,4,2329.91,2933.1259999999997
DELL,Inspiron,AMD,Ryzen 3,Missing,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14.96,0,No,No,36990,50586,26,4.2,137,15,2182.41,2984.574
DELL,Ryzen,AMD,Ryzen 3,Missing,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,39990,53640,25,4.6,7,0,2359.41,3164.7599999999998
ASUS,Ryzen,AMD,Ryzen 3,Missing,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,33690,37990,11,4.2,170,26,1987.7099999999998,2241.41
DELL,Inspiron,AMD,Ryzen 3,Missing,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,40590,50132,19,0.0,0,0,2394.81,2957.788
ASUS,VivoBook,AMD,Ryzen 3,Missing,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,37990,46990,19,4.2,39,3,2241.41,2772.41
ASUS,VivoBook,AMD,Ryzen 3,Missing,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,34500,42990,19,4.3,2886,375,2035.5,2536.41
acer,Aspire,AMD,Ryzen 3,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,36990,44999,17,4.6,11,2,2182.41,2654.941
HP,Ryzen,AMD,Ryzen 3,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,43490,52990,17,4.6,163,33,2565.91,3126.41
HP,Ryzen,AMD,Ryzen 3,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,41490,51748,19,4.2,153,21,2447.91,3053.132
acer,Aspire,AMD,Ryzen 3,Missing,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,0,No,No,34990,42999,18,0.0,0,0,2064.41,2536.941
HP,15s,AMD,Ryzen 3,Missing,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,44490,49000,9,4.3,267,42,2624.91,2891.0
DELL,Vostro,AMD,Ryzen 3,Missing,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,40590,51105,20,0.0,0,0,2394.81,3015.1949999999997
DELL,Inspiron,AMD,Ryzen 3,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,42090,56771,25,3.3,3,0,2483.31,3349.489
DELL,Vostro,AMD,Ryzen 3,Missing,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,35990,50651,28,4.1,59,12,2123.41,2988.4089999999997
HP,15s,AMD,Ryzen 3,Missing,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,39490,40957,3,4.2,7291,895,2329.91,2416.4629999999997
DELL,Inspiron,AMD,Ryzen 3,Missing,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,37390,50149,25,4.2,38,5,2206.0099999999998,2958.7909999999997
